Date,Plant,Production_Line,Product,Planned_Units,Produced_Units,Defective_Units,Downtime_Minutes,Downtime_Reason,Shift,Overtime_Hours,Production_Cost
2025-01-06,Plant D,Line 1,Product C,750,620,20,88,Quality Issue,Morning,7.5,67046.98
2025-01-06,Plant B,Line 3,Product A,941,849,48,44,Changeover,Night,3.8,68661.7
2025-01-07,Plant A,Line 4,Product B,1046,1004,25,70,Power Failure,Evening,0.2,67138.9
2025-01-07,Plant C,Line 4,Product A,867,839,14,11,Machine Failure,Night,0.0,60180.93
2025-01-07,Plant D,Line 1,Product A,872,723,28,28,Planned Maintenance,Night,3.3,60433.82
2025-01-07,Plant C,Line 4,Product D,1107,1062,47,54,Planned Maintenance,Morning,3.2,60879.45
2025-01-07,Plant C,Line 3,Product E,923,823,15,26,Machine Failure,Morning,6.4,64969.66
2025-01-07,Plant A,Line 1,Product B,1227,1166,41,32,Machine Failure,Evening,1.2,78428.65
2025-01-07,Plant A,Line 3,Product D,1336,1249,41,82,Quality Issue,Evening,3.5,76572.75
2025-01-07,Plant B,Line 4,Product C,821,711,24,128,Material Shortage,Evening,4.4,74599.46
2025-01-07,Plant A,Line 2,Product E,958,898,30,32,Power Failure,Morning,3.4,71756.64
2025-01-07,Plant C,Line 4,Product E,1021,971,20,47,Quality Issue,Morning,1.6,73222.91
2025-01-07,Plant D,Line 3,Product A,1027,840,43,131,Machine Failure,Evening,6.0,72887.87
2025-01-08,Plant D,Line 1,Product E,926,792,45,92,Changeover,Night,7.5,76454.67
2025-01-08,Plant A,Line 1,Product E,935,901,21,23,Power Failure,Morning,0.7,70712.9
2025-01-08,Plant B,Line 4,Product C,635,591,14,60,Machine Failure,Evening,3.8,62036.28
2025-01-08,Plant C,Line 1,Product B,1096,997,37,82,Machine Failure,Evening,10.0,74717.96
2025-01-08,Plant C,Line 2,Product C,779,758,17,18,Changeover,Evening,4.2,68278.68
2025-01-08,Plant C,Line 4,Product C,749,748,12,28,Quality Issue,Morning,4.1,68807.27
2025-01-08,Plant A,Line 2,Product B,916,865,35,13,Power Failure,Morning,2.6,58506.23
2025-01-08,Plant B,Line 2,Product B,1040,894,36,112,Machine Failure,Evening,6.6,68266.9
2025-01-08,Plant B,Line 3,Product E,1044,930,33,55,Material Shortage,Morning,7.3,80936.45
2025-01-08,Plant C,Line 4,Product E,969,954,32,24,Planned Maintenance,Evening,0.5,70431.97
2025-01-08,Plant D,Line 4,Product E,906,780,31,36,Planned Maintenance,Morning,4.3,69614.09
2025-01-08,Plant B,Line 2,Product E,993,879,28,63,Machine Failure,Night,5.1,76943.15
2025-01-09,Plant B,Line 3,Product E,1062,932,34,58,Machine Failure,Evening,6.8,81810.36
2025-01-09,Plant D,Line 3,Product B,1197,1028,49,102,Machine Failure,Morning,6.0,81514.96
2025-01-09,Plant D,Line 2,Product B,1061,927,53,69,Planned Maintenance,Evening,3.6,68750.69
2025-01-09,Plant B,Line 2,Product B,921,759,43,184,Changeover,Evening,4.7,58351.03
2025-01-09,Plant D,Line 2,Product E,1030,881,55,126,Changeover,Evening,4.0,77795.8
2025-01-10,Plant B,Line 4,Product C,671,603,16,38,Power Failure,Morning,4.8,62408.63
2025-01-10,Plant D,Line 1,Product A,858,700,36,118,Material Shortage,Morning,4.6,63824.06
2025-01-10,Plant B,Line 4,Product E,970,862,42,80,Planned Maintenance,Night,5.3,75271.4
2025-01-10,Plant C,Line 3,Product C,779,723,16,81,Machine Failure,Morning,0.8,62282.12
2025-01-10,Plant B,Line 4,Product E,884,779,42,55,Planned Maintenance,Morning,1.8,65846.93
2025-01-10,Plant B,Line 3,Product D,1331,1163,77,137,Planned Maintenance,Evening,7.1,78746.92
2025-01-10,Plant A,Line 3,Product C,773,752,18,25,Changeover,Night,5.4,71226.08
2025-01-10,Plant D,Line 4,Product A,790,709,27,54,Material Shortage,Morning,4.5,61162.8
2025-01-10,Plant D,Line 2,Product A,851,716,33,53,Power Failure,Evening,7.9,64729.22
2025-01-10,Plant B,Line 2,Product D,1211,1009,70,218,Planned Maintenance,Morning,4.4,70050.08
2025-01-10,Plant B,Line 4,Product D,1130,1059,46,34,Machine Failure,Morning,0.8,65187.55
2025-01-11,Plant D,Line 4,Product B,936,855,42,38,Material Shortage,Night,5.6,68050.97
2025-01-11,Plant C,Line 2,Product B,995,917,33,45,Material Shortage,Evening,2.5,61622.79
2025-01-11,Plant D,Line 1,Product C,750,585,29,91,Changeover,Morning,7.1,65168.75
2025-01-11,Plant D,Line 2,Product C,792,676,17,106,Changeover,Morning,1.6,67694.31
2025-01-11,Plant A,Line 3,Product E,1028,946,23,47,Changeover,Night,2.1,73511.33
2025-01-11,Plant D,Line 1,Product B,1064,892,51,59,Material Shortage,Morning,6.6,68349.86
2025-01-12,Plant A,Line 1,Product B,1025,978,36,72,Changeover,Morning,2.7,68288.01
2025-01-12,Plant C,Line 3,Product A,895,859,13,17,Power Failure,Evening,0.4,60761.69
2025-01-12,Plant B,Line 2,Product E,959,845,29,39,Quality Issue,Evening,5.9,70578.19
2025-01-12,Plant D,Line 2,Product E,1037,940,53,33,Machine Failure,Night,3.0,81291.87
2025-01-12,Plant B,Line 2,Product E,985,876,35,56,Planned Maintenance,Night,3.1,77131.38
2025-01-12,Plant B,Line 2,Product E,976,845,42,145,Machine Failure,Night,2.6,73788.1
2025-01-12,Plant B,Line 1,Product C,726,695,25,43,Machine Failure,Night,2.4,67605.37
2025-01-12,Plant A,Line 2,Product C,720,689,20,17,Planned Maintenance,Morning,0.0,58596.68
2025-01-12,Plant D,Line 1,Product B,1210,1054,51,70,Machine Failure,Morning,3.3,80707.47
2025-01-12,Plant C,Line 1,Product A,866,813,27,68,Quality Issue,Morning,4.1,60723.23
2025-01-12,Plant D,Line 2,Product A,870,679,34,137,Material Shortage,Morning,3.2,59083.16
2025-01-12,Plant B,Line 3,Product C,826,737,33,100,Planned Maintenance,Evening,8.6,80903.83
2025-01-12,Plant D,Line 1,Product C,786,678,26,50,Material Shortage,Evening,5.8,72076.53
2025-01-12,Plant A,Line 3,Product D,1296,1209,53,18,Machine Failure,Evening,2.0,73204.38
2025-01-12,Plant C,Line 1,Product A,968,837,28,145,Machine Failure,Evening,2.6,61586.93
2025-01-12,Plant A,Line 4,Product C,647,616,15,90,Planned Maintenance,Morning,3.2,58314.25
2025-01-12,Plant D,Line 1,Product E,979,860,30,24,Machine Failure,Morning,3.3,74698.27
2025-01-13,Plant C,Line 3,Product E,1002,947,30,54,Machine Failure,Evening,2.6,68468.5
2025-01-13,Plant C,Line 2,Product A,795,791,24,23,Machine Failure,Night,2.5,55115.15
2025-01-13,Plant A,Line 3,Product B,1251,1162,43,72,Machine Failure,Evening,5.6,83045.14
2025-01-13,Plant D,Line 2,Product D,1225,1132,73,28,Power Failure,Evening,2.6,76907.58
2025-01-13,Plant B,Line 2,Product E,938,838,37,55,Planned Maintenance,Morning,6.8,74719.28
2025-01-13,Plant B,Line 4,Product D,1136,1044,46,10,Planned Maintenance,Evening,6.4,70361.4
2025-01-13,Plant D,Line 3,Product E,1073,960,31,50,Power Failure,Night,2.6,82413.57
2025-01-13,Plant C,Line 3,Product E,1063,971,32,60,Power Failure,Evening,3.0,73525.48
2025-01-13,Plant B,Line 4,Product B,981,851,32,44,Material Shortage,Morning,6.5,64823.9
2025-01-13,Plant C,Line 4,Product C,724,627,19,80,Power Failure,Night,3.3,55959.05
2025-01-13,Plant B,Line 4,Product E,914,838,35,58,Power Failure,Evening,3.4,72209.18
2025-01-13,Plant D,Line 4,Product C,742,564,21,112,Material Shortage,Morning,3.9,60371.49
2025-01-13,Plant A,Line 2,Product B,989,907,31,61,Power Failure,Morning,2.6,64608.13
2025-01-14,Plant D,Line 1,Product E,972,828,40,100,Quality Issue,Night,3.2,74235.36
2025-01-14,Plant A,Line 3,Product A,966,922,28,31,Planned Maintenance,Morning,0.0,65961.46
2025-01-14,Plant A,Line 4,Product B,955,831,33,68,Machine Failure,Morning,4.8,60204.12
2025-01-14,Plant C,Line 1,Product E,987,931,30,66,Machine Failure,Evening,5.4,72147.06
2025-01-14,Plant B,Line 1,Product D,1299,1184,57,114,Planned Maintenance,Evening,8.7,84103.95
2025-01-14,Plant B,Line 2,Product D,1198,1137,45,42,Machine Failure,Morning,4.7,75000.61
2025-01-14,Plant C,Line 3,Product B,1193,1138,37,47,Power Failure,Morning,1.6,71254.16
2025-01-14,Plant A,Line 1,Product E,949,888,33,38,Material Shortage,Night,1.8,69228.42
2025-01-15,Plant A,Line 1,Product E,1071,1030,28,22,Planned Maintenance,Night,2.4,79352.29
2025-01-15,Plant B,Line 1,Product E,1006,910,27,28,Material Shortage,Evening,7.7,81076.67
2025-01-15,Plant D,Line 4,Product E,844,709,36,100,Machine Failure,Morning,4.4,65148.8
2025-01-15,Plant C,Line 4,Product C,693,647,15,36,Quality Issue,Evening,2.9,57381.94
2025-01-15,Plant C,Line 1,Product C,637,560,7,29,Changeover,Morning,5.8,53767.52
2025-01-15,Plant A,Line 3,Product C,765,728,11,29,Planned Maintenance,Evening,0.7,65281.48
2025-01-15,Plant A,Line 4,Product B,1059,999,36,35,Material Shortage,Evening,1.0,66087.33
2025-01-15,Plant B,Line 4,Product A,756,620,28,73,Planned Maintenance,Morning,1.9,50445.8
2025-01-15,Plant C,Line 3,Product B,1097,1034,28,41,Quality Issue,Night,3.9,68570.39
2025-01-16,Plant C,Line 4,Product C,708,682,16,103,Planned Maintenance,Evening,2.4,61105.15
2025-01-16,Plant A,Line 3,Product E,997,1000,28,41,Machine Failure,Night,5.0,79655.22
2025-01-16,Plant C,Line 3,Product E,955,915,35,79,Material Shortage,Evening,3.1,70910.63
2025-01-16,Plant B,Line 2,Product A,831,732,35,114,Material Shortage,Night,4.7,61259.74
2025-01-16,Plant A,Line 4,Product C,639,649,10,15,Machine Failure,Evening,4.8,62858.17
2025-01-16,Plant B,Line 3,Product C,799,706,25,116,Machine Failure,Morning,4.0,72552.77
2025-01-16,Plant D,Line 1,Product C,811,741,29,58,Quality Issue,Morning,8.3,78858.68
2025-01-17,Plant C,Line 1,Product B,1116,1045,30,55,Planned Maintenance,Evening,1.9,63460.18
2025-01-17,Plant B,Line 1,Product E,1010,900,32,53,Material Shortage,Morning,6.2,81029.33
2025-01-17,Plant B,Line 2,Product B,1176,998,42,64,Changeover,Morning,7.0,77363.41
2025-01-17,Plant D,Line 1,Product C,793,652,24,61,Material Shortage,Evening,5.1,69014.26
2025-01-17,Plant A,Line 2,Product E,1003,964,28,24,Material Shortage,Morning,2.7,75890.58
2025-01-17,Plant D,Line 3,Product A,948,755,35,56,Machine Failure,Evening,6.6,66432.08
2025-01-17,Plant B,Line 2,Product B,954,871,45,105,Quality Issue,Evening,6.1,66299.57
2025-01-17,Plant A,Line 3,Product C,811,745,15,43,Changeover,Morning,3.3,70585.4
2025-01-17,Plant A,Line 3,Product D,1196,1090,40,59,Machine Failure,Morning,4.3,68148.54
2025-01-17,Plant A,Line 4,Product C,688,610,13,38,Machine Failure,Night,4.5,59371.77
2025-01-17,Plant B,Line 2,Product A,946,798,42,122,Changeover,Night,3.0,67153.43
2025-01-17,Plant B,Line 4,Product A,906,856,31,39,Material Shortage,Night,0.7,66398.96
2025-01-17,Plant D,Line 2,Product A,785,580,29,119,Machine Failure,Morning,4.6,50579.39
2025-01-18,Plant B,Line 2,Product A,858,779,32,64,Machine Failure,Morning,6.6,66064.5
2025-01-18,Plant C,Line 1,Product A,925,868,10,39,Power Failure,Night,1.1,63781.72
2025-01-18,Plant C,Line 4,Product A,784,732,17,21,Planned Maintenance,Morning,0.0,49382.74
2025-01-18,Plant C,Line 3,Product D,1269,1215,55,50,Machine Failure,Morning,0.1,70852.89
2025-01-18,Plant D,Line 1,Product B,1110,903,43,66,Machine Failure,Morning,4.7,70576.91
2025-01-19,Plant B,Line 1,Product D,1272,1131,71,66,Machine Failure,Night,5.6,76977.68
2025-01-19,Plant C,Line 4,Product E,901,876,40,46,Planned Maintenance,Morning,0.0,63611.82
2025-01-19,Plant D,Line 1,Product E,995,866,39,133,Machine Failure,Night,6.4,80565.62
2025-01-19,Plant B,Line 4,Product C,666,595,21,76,Planned Maintenance,Morning,5.9,64261.73
2025-01-19,Plant A,Line 2,Product D,1202,1111,48,94,Changeover,Night,1.0,66401.15
2025-01-19,Plant A,Line 4,Product D,1093,1005,43,32,Machine Failure,Night,2.7,61005.34
2025-01-19,Plant B,Line 3,Product C,738,635,17,66,Quality Issue,Evening,5.9,68598.64
2025-01-19,Plant D,Line 3,Product C,835,749,21,38,Machine Failure,Morning,3.2,76534.31
2025-01-19,Plant B,Line 3,Product D,1341,1132,49,74,Material Shortage,Morning,5.5,77273.13
2025-01-19,Plant A,Line 1,Product C,721,674,16,79,Machine Failure,Evening,1.6,60211.67
2025-01-19,Plant C,Line 1,Product D,1245,1159,50,139,Changeover,Evening,0.6,67081.31
2025-01-19,Plant A,Line 3,Product C,805,690,15,66,Material Shortage,Night,5.5,67792.0
2025-01-19,Plant D,Line 1,Product C,767,617,19,62,Material Shortage,Evening,3.9,66394.04
2025-01-20,Plant C,Line 4,Product A,821,796,7,30,Machine Failure,Morning,3.8,58361.44
2025-01-20,Plant C,Line 2,Product C,688,626,10,74,Machine Failure,Morning,3.2,56674.22
2025-01-20,Plant B,Line 2,Product B,1079,943,44,72,Material Shortage,Night,2.0,67335.65
2025-01-20,Plant A,Line 3,Product D,1398,1241,59,98,Material Shortage,Morning,6.8,80582.79
2025-01-20,Plant D,Line 2,Product A,884,726,32,69,Changeover,Night,5.6,66127.22
2025-01-20,Plant C,Line 2,Product C,717,706,15,59,Machine Failure,Night,0.0,60315.97
2025-01-20,Plant A,Line 1,Product E,972,857,17,11,Power Failure,Night,4.7,70458.89
2025-01-20,Plant C,Line 2,Product D,1167,1101,35,47,Quality Issue,Morning,4.2,65548.65
2025-01-20,Plant B,Line 4,Product D,1220,1091,51,52,Power Failure,Evening,7.7,73891.45
2025-01-21,Plant A,Line 4,Product D,1058,992,31,15,Power Failure,Morning,2.5,56020.59
2025-01-21,Plant B,Line 3,Product D,1403,1251,60,21,Machine Failure,Night,5.0,82793.36
2025-01-21,Plant B,Line 1,Product D,1234,1112,42,39,Material Shortage,Morning,5.3,73501.37
2025-01-21,Plant A,Line 2,Product E,1016,943,37,49,Changeover,Morning,2.0,73941.67
2025-01-21,Plant A,Line 4,Product E,925,855,23,45,Power Failure,Morning,5.3,71953.97
2025-01-21,Plant A,Line 4,Product A,813,778,13,18,Planned Maintenance,Night,2.7,58980.27
2025-01-21,Plant C,Line 4,Product C,564,502,6,22,Planned Maintenance,Morning,3.1,45432.98
2025-01-21,Plant A,Line 3,Product C,852,785,21,74,Material Shortage,Night,2.1,73138.61
2025-01-21,Plant B,Line 3,Product B,1083,911,47,129,Quality Issue,Night,1.8,68087.44
2025-01-21,Plant D,Line 4,Product B,981,792,37,128,Power Failure,Evening,3.9,63549.91
2025-01-21,Plant C,Line 2,Product E,914,857,23,69,Changeover,Evening,3.7,68445.3
2025-01-22,Plant C,Line 4,Product D,1040,1000,30,22,Machine Failure,Evening,1.8,59946.99
2025-01-22,Plant C,Line 2,Product E,966,869,35,81,Planned Maintenance,Evening,5.9,69456.09
2025-01-22,Plant D,Line 1,Product D,1254,1032,54,62,Changeover,Morning,6.8,73738.59
2025-01-22,Plant C,Line 3,Product A,946,891,21,21,Machine Failure,Night,0.9,62899.62
2025-01-22,Plant C,Line 2,Product A,880,808,18,54,Changeover,Morning,3.7,58908.35
2025-01-22,Plant B,Line 1,Product B,1078,940,47,107,Material Shortage,Night,8.7,74524.03
2025-01-22,Plant B,Line 3,Product A,930,845,39,69,Machine Failure,Morning,5.5,72468.73
2025-01-22,Plant A,Line 1,Product B,1134,1038,43,69,Changeover,Morning,2.2,70429.37
2025-01-22,Plant A,Line 1,Product A,875,805,34,72,Changeover,Evening,4.6,61184.43
2025-01-22,Plant C,Line 1,Product D,1288,1284,52,23,Machine Failure,Night,2.8,75777.43
2025-01-22,Plant A,Line 4,Product B,967,904,42,59,Machine Failure,Morning,2.0,62012.08
2025-01-22,Plant B,Line 3,Product C,764,668,30,25,Material Shortage,Night,3.5,64293.05
2025-01-22,Plant C,Line 4,Product C,621,513,9,47,Power Failure,Evening,4.0,48863.02
2025-01-22,Plant B,Line 4,Product E,842,738,41,90,Machine Failure,Evening,3.9,64483.12
2025-01-22,Plant D,Line 2,Product E,998,903,43,22,Machine Failure,Night,0.8,80377.27
2025-01-23,Plant A,Line 1,Product B,1057,918,26,17,Machine Failure,Morning,2.9,64776.83
2025-01-23,Plant A,Line 1,Product A,852,721,22,145,Planned Maintenance,Morning,3.9,57370.81
2025-01-23,Plant A,Line 3,Product A,931,887,34,42,Machine Failure,Morning,4.8,67810.15
2025-01-23,Plant B,Line 3,Product C,819,712,32,101,Material Shortage,Evening,6.1,74760.25
2025-01-23,Plant C,Line 3,Product B,1159,1067,22,72,Power Failure,Morning,2.5,69506.4
2025-01-23,Plant D,Line 3,Product E,1128,1023,42,28,Material Shortage,Morning,4.4,88048.16
2025-01-23,Plant A,Line 4,Product D,1112,1012,54,118,Changeover,Evening,3.8,65084.06
2025-01-23,Plant C,Line 1,Product D,1243,1162,38,32,Changeover,Morning,4.7,70071.24
2025-01-24,Plant B,Line 4,Product D,1080,928,48,56,Machine Failure,Morning,5.1,64394.3
2025-01-24,Plant D,Line 2,Product B,985,819,43,139,Quality Issue,Evening,6.7,67403.19
2025-01-25,Plant B,Line 1,Product D,1266,1081,59,101,Planned Maintenance,Evening,6.4,73569.14
2025-01-25,Plant C,Line 4,Product E,915,876,37,92,Machine Failure,Evening,3.0,71314.78
2025-01-25,Plant D,Line 4,Product C,673,545,22,82,Changeover,Morning,6.0,58242.91
2025-01-25,Plant A,Line 2,Product E,916,815,26,52,Machine Failure,Morning,4.2,66397.21
2025-01-25,Plant B,Line 4,Product C,666,604,18,36,Quality Issue,Night,4.4,59536.69
2025-01-25,Plant D,Line 4,Product B,995,790,38,49,Material Shortage,Morning,8.0,64903.89
2025-01-25,Plant B,Line 3,Product E,1069,921,33,69,Quality Issue,Evening,2.9,78806.66
2025-01-25,Plant A,Line 4,Product E,818,732,26,80,Material Shortage,Evening,6.1,63141.87
2025-01-25,Plant D,Line 4,Product A,803,672,32,121,Material Shortage,Evening,7.4,62624.95
2025-01-25,Plant A,Line 4,Product C,671,669,9,24,Planned Maintenance,Night,2.1,57839.03
2025-01-25,Plant D,Line 1,Product B,1110,926,61,189,Power Failure,Morning,3.8,76797.7
2025-01-25,Plant C,Line 4,Product A,805,774,12,23,Machine Failure,Evening,0.2,55518.82
2025-01-25,Plant B,Line 1,Product D,1222,1114,54,80,Power Failure,Evening,4.4,73419.87
2025-01-25,Plant C,Line 1,Product C,684,613,13,24,Material Shortage,Evening,3.7,54764.7
2025-01-25,Plant C,Line 4,Product C,638,545,13,20,Material Shortage,Evening,3.6,49611.7
2025-01-26,Plant B,Line 4,Product D,1087,967,42,69,Quality Issue,Evening,5.7,67369.69
2025-01-26,Plant A,Line 1,Product A,856,782,22,14,Planned Maintenance,Night,4.0,61467.88
2025-01-26,Plant C,Line 2,Product E,952,944,18,19,Machine Failure,Evening,0.0,68828.04
2025-01-26,Plant D,Line 4,Product A,775,680,28,28,Quality Issue,Evening,7.2,61381.88
2025-01-26,Plant C,Line 3,Product B,1214,1156,29,40,Planned Maintenance,Night,4.5,79411.89
2025-01-26,Plant B,Line 3,Product B,1157,1009,48,80,Quality Issue,Night,7.4,79226.42
2025-01-26,Plant C,Line 4,Product E,901,873,26,48,Quality Issue,Evening,4.0,66981.84
2025-01-26,Plant C,Line 4,Product C,662,588,13,22,Power Failure,Evening,3.9,49761.23
2025-01-27,Plant C,Line 2,Product A,780,700,20,107,Quality Issue,Morning,6.7,55522.96
2025-01-27,Plant D,Line 1,Product B,1118,950,52,71,Material Shortage,Evening,1.7,70889.43
2025-01-27,Plant A,Line 2,Product C,771,742,13,54,Planned Maintenance,Morning,3.1,69044.82
2025-01-27,Plant A,Line 1,Product C,688,645,24,46,Machine Failure,Night,3.4,60252.45
2025-01-27,Plant A,Line 1,Product B,1020,962,36,55,Planned Maintenance,Night,2.4,66877.85
2025-01-27,Plant A,Line 4,Product B,957,867,32,117,Power Failure,Evening,1.7,58357.16
2025-01-27,Plant C,Line 1,Product D,1219,1126,47,97,Planned Maintenance,Morning,0.7,65516.84
2025-01-28,Plant B,Line 3,Product C,768,724,25,12,Changeover,Evening,1.9,71396.49
2025-01-28,Plant C,Line 3,Product B,1157,1125,37,46,Material Shortage,Evening,4.4,75209.95
2025-01-28,Plant A,Line 1,Product D,1350,1251,67,101,Machine Failure,Night,2.4,75217.47
2025-01-28,Plant A,Line 4,Product C,648,546,17,43,Material Shortage,Morning,5.6,55238.19
2025-01-28,Plant B,Line 1,Product E,1048,1010,38,44,Quality Issue,Night,5.0,84761.32
2025-01-28,Plant C,Line 2,Product A,891,808,19,42,Material Shortage,Morning,8.4,65651.55
2025-01-28,Plant B,Line 3,Product C,823,669,28,138,Power Failure,Night,7.3,73542.98
2025-01-28,Plant A,Line 1,Product A,899,850,26,34,Changeover,Evening,1.5,62924.63
2025-01-28,Plant B,Line 2,Product A,887,827,36,95,Machine Failure,Evening,2.5,69003.38
2025-01-29,Plant D,Line 2,Product D,1203,931,53,162,Power Failure,Morning,6.2,66228.27
2025-01-29,Plant B,Line 2,Product C,772,634,14,75,Power Failure,Morning,7.9,65844.51
2025-01-29,Plant A,Line 2,Product E,916,890,24,17,Material Shortage,Morning,1.5,68833.43
2025-01-29,Plant B,Line 3,Product B,1219,1090,45,36,Material Shortage,Evening,6.9,81880.55
2025-01-29,Plant A,Line 3,Product B,1165,1110,41,72,Quality Issue,Night,4.2,78242.94
2025-01-29,Plant A,Line 2,Product D,1135,1065,44,28,Power Failure,Morning,2.9,64334.44
2025-01-29,Plant A,Line 2,Product A,948,919,27,55,Planned Maintenance,Morning,1.1,67168.9
2025-01-29,Plant D,Line 3,Product B,1124,945,37,53,Planned Maintenance,Night,4.0,71994.84
2025-01-29,Plant C,Line 4,Product A,840,751,15,46,Changeover,Evening,4.3,56733.15
2025-01-29,Plant C,Line 1,Product A,950,895,19,40,Changeover,Morning,0.4,62198.23
2025-01-29,Plant A,Line 1,Product B,1163,1153,41,37,Power Failure,Morning,0.0,74780.57
2025-01-30,Plant B,Line 4,Product D,1052,980,39,19,Machine Failure,Night,1.9,64991.08
2025-01-30,Plant B,Line 4,Product B,963,846,34,39,Planned Maintenance,Morning,7.8,61848.62
2025-01-30,Plant B,Line 3,Product C,773,644,16,18,Power Failure,Night,3.4,64372.11
